ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
GERMAN-1_arm-1,,GERMAN,1_arm,Arm,Arm,,,Tjuka2019,,,,
ENGLISH-1_arm-1,,ENGLISH,1_arm,arm,arm,,,Tjuka2019,,,,
WOLOF-1_arm-1,,WOLOF,1_arm,loxo,loxo,,,Tjuka2019,,,,
CZECH-1_arm-1,,CZECH,1_arm,ruka,ruka,,,Tjuka2019,,,,
MARATHI-1_arm-1,,MARATHI,1_arm,हात,हात,,,Tjuka2019,,,,
VIETNAMESE-1_arm-1,,VIETNAMESE,1_arm,tay,tay,,,Tjuka2019,,,,
GREEK-1_arm-1,,GREEK,1_arm,χέρι,χέρι,,,Tjuka2019,,,,
PERSIAN-1_arm-1,,PERSIAN,1_arm,بازو,بازو,,,Tjuka2019,,,,
CHINESE-1_arm-1,,CHINESE,1_arm,胳膊,胳膊,,,Tjuka2019,,,,
KHOEKHOE-1_arm-1,,KHOEKHOE,1_arm,ǁ​ôab,ǁ​ôab,,,Tjuka2019,,,,
HUNGARIAN-1_arm-1,,HUNGARIAN,1_arm,kar,kar,,,Tjuka2019,,,,
JAPANESE-1_arm-1,,JAPANESE,1_arm,腕,腕,,,Tjuka2019,,,,
HEBREW-1_arm-1,,HEBREW,1_arm,זרוע,זרוע,,,Tjuka2019,,,,
TURKISH-1_arm-1,,TURKISH,1_arm,kol,kol,,,Tjuka2019,,,,
MALAY-1_arm-1,,MALAY,1_arm,lengan,lengan,,,Tjuka2019,,,,
GERMAN-2_back-1,,GERMAN,2_back,Rücken,Rücken,,,Tjuka2019,,,,
ENGLISH-2_back-1,,ENGLISH,2_back,back,back,,,Tjuka2019,,,,
WOLOF-2_back-1,,WOLOF,2_back,ganàw/ginàw,ganàw,,,Tjuka2019,,,,
WOLOF-2_back-2,,WOLOF,2_back,ganàw/ginàw,ginàw,,,Tjuka2019,,,,
CZECH-2_back-1,,CZECH,2_back,záda,záda,,,Tjuka2019,,,,
VIETNAMESE-2_back-1,,VIETNAMESE,2_back,lưng,lưng,,,Tjuka2019,,,,
GREEK-2_back-1,,GREEK,2_back,μέση,μέση,,,Tjuka2019,,,,
PERSIAN-2_back-1,,PERSIAN,2_back,بازگشت,بازگشت,,,Tjuka2019,,,,
CHINESE-2_back-1,,CHINESE,2_back,后背,后背,,,Tjuka2019,,,,
KHOEKHOE-2_back-1,,KHOEKHOE,2_back,ǁ​âb,ǁ​âb,,,Tjuka2019,,,,
HUNGARIAN-2_back-1,,HUNGARIAN,2_back,hát,hát,,,Tjuka2019,,,,
JAPANESE-2_back-1,,JAPANESE,2_back,背/背中,背,,,Tjuka2019,,,,
JAPANESE-2_back-2,,JAPANESE,2_back,背/背中,背中,,,Tjuka2019,,,,
HEBREW-2_back-1,,HEBREW,2_back,גב,גב,,,Tjuka2019,,,,
TURKISH-2_back-1,,TURKISH,2_back,sırt,sırt,,,Tjuka2019,,,,
MALAY-2_back-1,,MALAY,2_back,belakang,belakang,,,Tjuka2019,,,,
GERMAN-3_body-1,,GERMAN,3_body,Körper,Körper,,,Tjuka2019,,,,
ENGLISH-3_body-1,,ENGLISH,3_body,body,body,,,Tjuka2019,,,,
WOLOF-3_body-1,,WOLOF,3_body,yaram,yaram,,,Tjuka2019,,,,
CZECH-3_body-1,,CZECH,3_body,tělo,tělo,,,Tjuka2019,,,,
MARATHI-3_body-1,,MARATHI,3_body,शरीर/अंग,शरीर,,,Tjuka2019,,,,
MARATHI-3_body-2,,MARATHI,3_body,शरीर/अंग,अंग,,,Tjuka2019,,,,
VIETNAMESE-3_body-1,,VIETNAMESE,3_body,cơ thể,cơ thể,,,Tjuka2019,,,,
GREEK-3_body-1,,GREEK,3_body,σώμα,σώμα,,,Tjuka2019,,,,
PERSIAN-3_body-1,,PERSIAN,3_body,بدن,بدن,,,Tjuka2019,,,,
CHINESE-3_body-1,,CHINESE,3_body,身体,身体,,,Tjuka2019,,,,
KHOEKHOE-3_body-1,,KHOEKHOE,3_body,ǀ​khāb/soros,ǀ​khāb,,,Tjuka2019,,,,
KHOEKHOE-3_body-2,,KHOEKHOE,3_body,ǀ​khāb/soros,soros,,,Tjuka2019,,,,
HUNGARIAN-3_body-1,,HUNGARIAN,3_body,test,test,,,Tjuka2019,,,,
JAPANESE-3_body-1,,JAPANESE,3_body,体,体,,,Tjuka2019,,,,
HEBREW-3_body-1,,HEBREW,3_body,גוף,גוף,,,Tjuka2019,,,,
TURKISH-3_body-1,,TURKISH,3_body,vücut,vücut,,,Tjuka2019,,,,
MALAY-3_body-1,,MALAY,3_body,badan,badan,,,Tjuka2019,,,,
GERMAN-4_buttocks-1,,GERMAN,4_buttocks,Gesäß,Gesäß,,,Tjuka2019,,,,
ENGLISH-4_buttocks-1,,ENGLISH,4_buttocks,buttocks,buttocks,,,Tjuka2019,,,,
CZECH-4_buttocks-1,,CZECH,4_buttocks,hýždě,hýždě,,,Tjuka2019,,,,
MARATHI-4_buttocks-1,,MARATHI,4_buttocks,नितंब,नितंब,,,Tjuka2019,,,,
VIETNAMESE-4_buttocks-1,,VIETNAMESE,4_buttocks,mông,mông,,,Tjuka2019,,,,
GREEK-4_buttocks-1,,GREEK,4_buttocks,οπίσθια,οπίσθια,,,Tjuka2019,,,,
CHINESE-4_buttocks-1,,CHINESE,4_buttocks,臀,臀,,,Tjuka2019,,,,
KHOEKHOE-4_buttocks-1,,KHOEKHOE,4_buttocks,ǂ​aredi,ǂ​aredi,,,Tjuka2019,,,,
HUNGARIAN-4_buttocks-1,,HUNGARIAN,4_buttocks,fenék,fenék,,,Tjuka2019,,,,
JAPANESE-4_buttocks-1,,JAPANESE,4_buttocks,尻,尻,,,Tjuka2019,,,,
TURKISH-4_buttocks-1,,TURKISH,4_buttocks,göt/kıç,göt,,,Tjuka2019,,,,
TURKISH-4_buttocks-2,,TURKISH,4_buttocks,göt/kıç,kıç,,,Tjuka2019,,,,
MALAY-4_buttocks-1,,MALAY,4_buttocks,pantat,pantat,,,Tjuka2019,,,,
GERMAN-5_ear-1,,GERMAN,5_ear,Ohr,Ohr,,,Tjuka2019,,,,
ENGLISH-5_ear-1,,ENGLISH,5_ear,ear,ear,,,Tjuka2019,,,,
WOLOF-5_ear-1,,WOLOF,5_ear,nopp,nopp,,,Tjuka2019,,,,
CZECH-5_ear-1,,CZECH,5_ear,ucho,ucho,,,Tjuka2019,,,,
MARATHI-5_ear-1,,MARATHI,5_ear,कान,कान,,,Tjuka2019,,,,
VIETNAMESE-5_ear-1,,VIETNAMESE,5_ear,tai,tai,,,Tjuka2019,,,,
GREEK-5_ear-1,,GREEK,5_ear,αυτί,αυτί,,,Tjuka2019,,,,
PERSIAN-5_ear-1,,PERSIAN,5_ear,گوش,گوش,,,Tjuka2019,,,,
CHINESE-5_ear-1,,CHINESE,5_ear,耳,耳,,,Tjuka2019,,,,
KHOEKHOE-5_ear-1,,KHOEKHOE,5_ear,ǂ​gaes,ǂ​gaes,,,Tjuka2019,,,,
HUNGARIAN-5_ear-1,,HUNGARIAN,5_ear,fül,fül,,,Tjuka2019,,,,
JAPANESE-5_ear-1,,JAPANESE,5_ear,耳,耳,,,Tjuka2019,,,,
